rep,sampler,rho,n_keep,accept_rate,kernel_ess,kernel_gamma0,kernel_sigma2,kernel_bandwidth,mmd2_raw_reference,mmd2_reference_corrected,n_times_mmd2_reference_corrected,calibration_ratio,gamma0_ref,reference_size,mode_tv_error
0,local_vmf,0.35,500,0.74,68.05727299541431,0.07169322475396833,0.5267124408496283,10,0.386380858233069,0.3858902120282598,192.9451060141299,366.31962917544604,0.4906462048092326,1000,0.6739999999999999
0,local_vmf,0.6,500,0.74,73.96469172858309,0.3864647074468744,2.612494545809944,10,0.876848897052513,0.8755168783560079,437.7584391780039,167.56338874663066,1.3320186965051757,1000,0.6739999999999999
0,local_vmf,0.85,500,0.74,101.90470527578704,3.2531837852976047,15.961891928804656,10,1.8075524543613173,1.8023652549675075,901.1826274837538,56.45838422558728,5.187199393809668,1000,0.6739999999999999
0,independence_mixture,0.35,500,0.48857142857142855,181.01027093889024,0.47619688250501996,1.3153863591138037,10,0.0036958679541001516,0.003205221749290919,1.6026108746454595,1.2183575293613074,0.4906462048092326,1000,0.055000000000000014
0,independence_mixture,0.6,500,0.48857142857142855,179.63233299761893,1.2939105126012507,3.6015523792657134,10,0.01000855296092018,0.008676534264415005,4.338267132207503,1.2045547795398137,1.3320186965051757,1000,0.055000000000000014
0,independence_mixture,0.85,500,0.48857142857142855,173.76762898800865,5.06486766862856,14.57368008680741,10,0.04455460535291067,0.039367405959101,19.6837029795505,1.350633667152393,5.187199393809668,1000,0.055000000000000014
1,local_vmf,0.35,500,0.71,59.18338218038116,0.09167580995691295,0.774506344344264,10,0.38385158518467577,0.38336093897986656,191.68046948993327,247.48728127233042,0.4906462048092326,1000,0.6739999999999999
1,local_vmf,0.6,500,0.71,63.7031799799238,0.46399924981758595,3.641884517882909,10,0.8407327064345269,0.8394006877380218,419.7003438690109,115.24262831732787,1.3320186965051757,1000,0.6739999999999999
1,local_vmf,0.85,500,0.71,84.82503621914358,3.511813685506968,20.7003370822871,10,1.6574698134830403,1.6522826140892306,826.1413070446154,39.909558175819726,5.187199393809668,1000,0.6739999999999999
1,independence_mixture,0.35,500,0.49857142857142855,189.10881804948346,0.4807912377993249,1.2712025879023734,10,0.0033255757299230915,0.002834929525113859,1.4174647625569294,1.1150581158711335,0.4906462048092326,1000,0.03400000000000001
1,independence_mixture,0.6,500,0.49857142857142855,187.59328956351206,1.3091456644650674,3.4893190143185797,10,0.010856821798268523,0.009524803101763348,4.762401550881674,1.3648512879845442,1.3320186965051757,1000,0.03400000000000001
1,independence_mixture,0.85,500,0.49857142857142855,182.87336771439163,5.11556785078725,13.986639811808608,10,0.06099827947985803,0.05581108008604836,27.905540043024182,1.995156836702419,5.187199393809668,1000,0.03400000000000001
2,local_vmf,0.35,500,0.7257142857142858,69.09158773812496,0.07014380188320905,0.5076146328339729,10,0.6685798599154065,0.6680892137105973,334.04460685529864,658.0673314919109,0.4906462048092326,1000,0.905
2,local_vmf,0.6,500,0.7257142857142858,75.44563406224347,0.37623123460806673,2.4933930192545795,10,1.5086495651133511,1.507317546416846,753.658773208423,302.26232583009937,1.3320186965051757,1000,0.905
2,local_vmf,0.85,500,0.7257142857142858,104.2907116832095,3.1836760842097074,15.263468974496748,10,3.114278835209808,3.1090916358159983,1554.5458179079992,101.84747782469641,5.187199393809668,1000,0.905
2,independence_mixture,0.35,500,0.5114285714285715,198.09372956607484,0.4982195408725114,1.2575348597955711,10,0.001860010542624746,0.0013693643378155135,0.6846821689077568,0.5444637685980815,0.4906462048092326,1000,0.03700000000000002
2,independence_mixture,0.6,500,0.5114285714285715,199.35261261705745,1.3490500781931045,3.3835776227937786,10,0.005399870730921741,0.004067852034416565,2.0339260172082825,0.601116996254661,1.3320186965051757,1000,0.03700000000000002
2,independence_mixture,0.85,500,0.5114285714285715,193.53060639542932,5.215398733675967,13.474351242975128,10,0.024396841920535817,0.019209642526726148,9.604821263363075,0.7128225389233905,5.187199393809668,1000,0.03700000000000002
3,local_vmf,0.35,500,0.7285714285714285,65.03492628150362,0.08555205837137493,0.6577393353308568,10,0.64768764351033,0.6471969973055208,323.59849865276044,491.98593009491145,0.4906462048092326,1000,0.905
3,local_vmf,0.6,500,0.7285714285714285,70.12313631693773,0.4416801676030074,3.149318404746842,10,1.4398808803311183,1.4385488616346132,719.2744308173066,228.3905081598523,1.3320186965051757,1000,0.905
3,local_vmf,0.85,500,0.7285714285714285,94.79212755687766,3.440323404765986,18.146672584712825,10,2.8702031858100687,2.865015986416259,1432.5079932081294,78.94053229432856,5.187199393809668,1000,0.905
3,independence_mixture,0.35,500,0.5371428571428571,199.26279945515904,0.49971829766021686,1.2539176881650471,10,0.007775255398494885,0.007284609193685652,3.642304596842826,2.904739785729386,0.4906462048092326,1000,0.094
3,independence_mixture,0.6,500,0.5371428571428571,197.62022286303775,1.35622382628484,3.4313892744286134,10,0.01816263653511685,0.016830617838611672,8.415308919305836,2.452449502601868,1.3320186965051757,1000,0.094
3,independence_mixture,0.85,500,0.5371428571428571,195.8484115826737,5.245882290377176,13.392710841983842,10,0.04637686504169247,0.0411896656478828,20.594832823941402,1.537764315748545,5.187199393809668,1000,0.094
