rotation_id,coord1_ess,coord2_ess,coord3_ess,kernel_ess,kernel_gamma0,kernel_sigma2,kernel_bandwidth
0,86.15282847173862,90.76535831273699,90.02817408543683,123.77834782155858,1.7245438453995694,8.35950976443331,10
1,94.9275182532804,85.48557704246139,91.87373064633057,123.77834782155855,1.7245438453995696,8.359509764433314,10
2,87.56089603667249,92.3748254042713,86.23442564786461,123.77834782155855,1.7245438453995705,8.359509764433318,10
3,94.4367682962176,84.77814959086218,91.40885896256576,123.77834782155867,1.724543845399569,8.359509764433303,10
4,89.4282119957977,92.20252632343914,85.86312972108747,123.77834782155853,1.724543845399569,8.359509764433312,10
5,88.7919041423581,93.61364581788547,86.61500860029723,123.77834782155858,1.7245438453995674,8.359509764433302,10
6,85.68166900887336,90.764091768952,92.36908019784393,123.77834782155853,1.7245438453995696,8.359509764433316,10
7,93.56460403168222,92.18694701090561,84.71112669873953,123.77834782155858,1.724543845399569,8.359509764433309,10
8,88.44960737564111,88.28935797632299,93.98473353659668,123.77834782155847,1.7245438453995667,8.359509764433305,10
9,93.25978643035249,84.13850813384852,92.52884866313285,123.77834782155861,1.724543845399567,8.359509764433298,10
10,88.42838768654816,91.88498676498789,86.75500626885707,123.77834782155853,1.7245438453995694,8.359509764433314,10
11,85.1100755465189,92.09238415681354,86.97347953268469,123.77834782155861,1.7245438453995705,8.359509764433314,10
